dataset_indexhtml_path,file_name,artist,title,instrument,has_dadagp_txt,has_gp5,has_tabvae_csv,has_scalevae_csv,has_wav,has_xml,has_pdf,dadagp_num_lines,dadagp_num_measures,dadagp_total_wait_ticks,dadagp_total_note_ticks,dadagp_note_density,normalized_ticks_per_measure,xml_num_measures,tabvae_num_rows,tabvae_num_cols,scalevae_num_rows,scalevae_num_cols,scalevae_total_quarter_length,scalevae_midi_range_min,scalevae_midi_range_max,scalevae_appear_midi_min,scalevae_appear_midi_max,wav_length_sec,wav_num_samples,wav_sample_rate
11,Intro16-DadaGP-v1.0\analysis_result\htmls\00011.html,1Kempfi1 - Sunrise_clean0,1Kempfi1,Sunrise,clean0,1,1,1,1,1,1,1,214,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,60,35.0,1543500,44100
12,Intro16-DadaGP-v1.0\analysis_result\htmls\00012.html,20-70 - Harmonious Distruption_clean0,20-70,Harmonious Distruption,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,64,35.0,1543500,44100
13,Intro16-DadaGP-v1.0\analysis_result\htmls\00013.html,20-70 - Overwound Music Box_clean0,20-70,Overwound Music Box,clean0,1,1,1,1,1,1,1,553,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,61,37.90897959183673,1671786,44100
14,Intro16-DadaGP-v1.0\analysis_result\htmls\00014.html,20-70 - To Hell And Back_distorted0,20-70,To Hell And Back,distorted0,1,1,1,1,1,1,1,577,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,87,30.42798185941043,1341874,44100
15,Intro16-DadaGP-v1.0\analysis_result\htmls\00015.html,20-70 - Zinfandel 2006_distorted1,20-70,Zinfandel 2006,distorted1,1,1,1,1,1,1,1,432,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,63,51.0,2249100,44100
16,Intro16-DadaGP-v1.0\analysis_result\htmls\00016.html,23 P.H_clean0,Unknown,23 P.H,clean0,1,0,1,1,0,0,0,949,16,61440,61440,1.0,3840.0,0,12,512,142,256,64.0,34,104,40,63,0,0,0
17,Intro16-DadaGP-v1.0\analysis_result\htmls\00017.html,28 Days - Rip It Up_distorted0,28 Days,Rip It Up,distorted0,1,1,1,1,1,1,1,1044,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,62,35.0,1543500,44100
18,Intro16-DadaGP-v1.0\analysis_result\htmls\00018.html,3 Doors Down - Be Like That_clean0,3 Doors Down,Be Like That,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,67,45.66598639455783,2013870,44100
19,Intro16-DadaGP-v1.0\analysis_result\htmls\00019.html,3 Doors Down - By My Side_distorted0,3 Doors Down,By My Side,distorted0,1,1,1,1,1,1,1,335,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,58,30.42798185941043,1341874,44100
20,Intro16-DadaGP-v1.0\analysis_result\htmls\00020.html,3 Doors Down - Changes_clean0,3 Doors Down,Changes,clean0,1,1,1,1,1,1,1,398,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,39,71,51.0,2249100,44100
21,Intro16-DadaGP-v1.0\analysis_result\htmls\00021.html,3 Doors Down - Going Down In Flames_distorted0,3 Doors Down,Going Down In Flames,distorted0,1,1,1,1,1,1,1,653,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,67,32.53798185941043,1434925,44100
22,Intro16-DadaGP-v1.0\analysis_result\htmls\00022.html,3 Doors Down - Here Without You_clean0,3 Doors Down,Here Without You,clean0,1,1,1,1,1,1,1,459,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,42,68,57.85698412698413,2551493,44100
23,Intro16-DadaGP-v1.0\analysis_result\htmls\00023.html,3 Doors Down - Kryptonite_clean0,3 Doors Down,Kryptonite,clean0,1,1,1,1,1,1,1,285,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,64,41.398979591836735,1825695,44100
24,Intro16-DadaGP-v1.0\analysis_result\htmls\00024.html,3 Doors Down - Life Of My Own_clean0,3 Doors Down,Life Of My Own,clean0,1,1,1,1,1,1,1,411,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,59,28.6,1261260,44100
25,Intro16-DadaGP-v1.0\analysis_result\htmls\00025.html,3 Doors Down - Not Enough_clean0,3 Doors Down,Not Enough,clean0,1,1,1,1,1,1,1,262,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,55,30.42798185941043,1341874,44100
26,Intro16-DadaGP-v1.0\analysis_result\htmls\00026.html,3 Doors Down - Running Out Of Days_distorted0,3 Doors Down,Running Out Of Days,distorted0,1,1,1,1,1,1,1,213,16,61440,36960,0.6015625,3840.0,16,12,512,142,256,64.0,34,104,40,64,51.0,2249100,44100
27,Intro16-DadaGP-v1.0\analysis_result\htmls\00027.html,3 Doors Down - Sarah Yellin_distorted0,3 Doors Down,Sarah Yellin,distorted0,1,1,1,1,1,1,1,493,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,60,35.0,1543500,44100
28,Intro16-DadaGP-v1.0\analysis_result\htmls\00028.html,3 Doors Down - The Road I'm On_clean0,3 Doors Down,The Road I'm On,clean0,1,1,1,1,1,1,1,811,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,67,45.66598639455783,2013870,44100
29,Intro16-DadaGP-v1.0\analysis_result\htmls\00029.html,3 Inches Of Blood - Balls Of Ice_distorted0,3 Inches Of Blood,Balls Of Ice,distorted0,1,1,1,1,1,1,1,558,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,46,57,24.332993197278913,1073085,44100
30,Intro16-DadaGP-v1.0\analysis_result\htmls\00030.html,3 Inches Of Blood - Deadly Sinners_distorted0,3 Inches Of Blood,Deadly Sinners,distorted0,1,1,1,1,1,1,1,355,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,45,62,22.2,979020,44100
31,Intro16-DadaGP-v1.0\analysis_result\htmls\00031.html,301 Izquierda - (r)Por Que No Me Dijeron Eso Antes__distorted1,301 Izquierda,(r)Por Que No Me Dijeron Eso Antes_,distorted1,1,1,1,1,1,1,1,733,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,39,66,35.0,1543500,44100
32,Intro16-DadaGP-v1.0\analysis_result\htmls\00032.html,301 Izquierda - Calcetas_distorted0,301 Izquierda,Calcetas,distorted0,1,1,1,1,1,1,1,629,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,66,37.90897959183673,1671786,44100
33,Intro16-DadaGP-v1.0\analysis_result\htmls\00033.html,31 Minutos - Equilibrio Espiritual_distorted0,31 Minutos,Equilibrio Espiritual,distorted0,1,1,1,1,1,1,1,665,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,62,57.85698412698413,2551493,44100
34,Intro16-DadaGP-v1.0\analysis_result\htmls\00034.html,31 Minutos - Tema Central_clean0,31 Minutos,Tema Central,clean0,1,1,1,1,1,1,1,1056,16,61440,61200,0.99609375,3840.0,16,12,512,142,256,64.0,34,104,45,69,51.0,2249100,44100
35,Intro16-DadaGP-v1.0\analysis_result\htmls\00035.html,"311 - 1,2,3_clean0",311,"1,2,3",clean0,1,1,1,1,1,1,1,320,16,61440,55200,0.8984375,3840.0,16,12,512,142,256,64.0,34,104,45,68,57.85698412698413,2551493,44100
36,Intro16-DadaGP-v1.0\analysis_result\htmls\00036.html,311 - All Mixed Up_distorted0,311,All Mixed Up,distorted0,1,1,1,1,1,1,1,597,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,49,70,51.0,2249100,44100
37,Intro16-DadaGP-v1.0\analysis_result\htmls\00037.html,311 - Beautiful Disaster_distorted0,311,Beautiful Disaster,distorted0,1,1,1,1,1,1,1,235,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,64,25.58798185941043,1128430,44100
38,Intro16-DadaGP-v1.0\analysis_result\htmls\00038.html,311 - Come O'riginal_distorted0,311,Come O'riginal,distorted0,1,1,1,1,1,1,1,661,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,69,45.66598639455783,2013870,44100
39,Intro16-DadaGP-v1.0\analysis_result\htmls\00039.html,311 - Come Original_distorted0,311,Come Original,distorted0,1,1,1,1,1,1,1,686,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,69,45.66598639455783,2013870,44100
40,Intro16-DadaGP-v1.0\analysis_result\htmls\00040.html,311 - Don't Stay Home_distorted0,311,Don't Stay Home,distorted0,1,1,1,1,1,1,1,890,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,63,37.90897959183673,1671786,44100
41,Intro16-DadaGP-v1.0\analysis_result\htmls\00041.html,311 - Don_'t Stay Home_distorted0,311,Don_'t Stay Home,distorted0,1,1,1,1,1,1,1,890,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,63,37.90897959183673,1671786,44100
42,Intro16-DadaGP-v1.0\analysis_result\htmls\00042.html,311 - Down_distorted0,311,Down,distorted0,1,1,1,1,1,1,1,979,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,57,51.0,2249100,44100
43,Intro16-DadaGP-v1.0\analysis_result\htmls\00043.html,311 - Freeze Time_distorted0,311,Freeze Time,distorted0,1,1,1,1,1,1,1,397,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,37,57,45.66598639455783,2013870,44100
44,Intro16-DadaGP-v1.0\analysis_result\htmls\00044.html,311 - Hive_distorted0,311,Hive,distorted0,1,1,1,1,1,1,1,431,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,53,37.90897959183673,1671786,44100
45,Intro16-DadaGP-v1.0\analysis_result\htmls\00045.html,311 - Homebrew_distorted0,311,Homebrew,distorted0,1,1,1,1,1,1,1,743,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,69,35.0,1543500,44100
46,Intro16-DadaGP-v1.0\analysis_result\htmls\00046.html,311 - Hydroponic_distorted1,311,Hydroponic,distorted1,1,1,1,1,1,1,1,202,16,61440,60000,0.9765625,3840.0,16,12,512,142,256,64.0,34,104,40,52,30.42798185941043,1341874,44100
47,Intro16-DadaGP-v1.0\analysis_result\htmls\00047.html,311 - Large In The Margin_distorted0,311,Large In The Margin,distorted0,1,1,1,1,1,1,1,409,16,61440,58320,0.94921875,3840.0,16,12,512,142,256,64.0,34,104,43,50,41.398979591836735,1825695,44100
48,Intro16-DadaGP-v1.0\analysis_result\htmls\00048.html,311 - Light Years_clean0,311,Light Years,clean0,1,1,1,1,1,1,1,235,16,61440,59520,0.96875,3840.0,16,12,512,142,256,64.0,34,104,40,71,51.0,2249100,44100
49,Intro16-DadaGP-v1.0\analysis_result\htmls\00049.html,311 - Loco_distorted0,311,Loco,distorted0,1,1,1,1,1,1,1,397,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,49,41.398979591836735,1825695,44100
50,Intro16-DadaGP-v1.0\analysis_result\htmls\00050.html,311 - Lucky_distorted0,311,Lucky,distorted0,1,1,1,1,1,1,1,551,16,61440,57120,0.9296875,3840.0,16,12,512,142,256,64.0,34,104,40,61,45.66598639455783,2013870,44100
51,Intro16-DadaGP-v1.0\analysis_result\htmls\00051.html,311 - Nix Hex_clean1,311,Nix Hex,clean1,1,1,1,1,1,1,1,274,16,61440,35040,0.5703125,3840.0,16,12,512,142,256,64.0,34,104,45,60,51.0,2249100,44100
52,Intro16-DadaGP-v1.0\analysis_result\htmls\00052.html,311 - Prisoner_distorted0,311,Prisoner,distorted0,1,1,1,1,1,1,1,189,16,61440,30720,0.5,3840.0,16,12,512,142,256,64.0,34,104,43,53,51.0,2249100,44100
53,Intro16-DadaGP-v1.0\analysis_result\htmls\00053.html,311 - Salsa_distorted0,311,Salsa,distorted0,1,1,1,1,1,1,1,485,16,61440,57600,0.9375,3840.0,16,12,512,142,256,64.0,34,104,40,68,45.66598639455783,2013870,44100
54,Intro16-DadaGP-v1.0\analysis_result\htmls\00054.html,311 - Silver_distorted0,311,Silver,distorted0,1,1,1,1,1,1,1,472,16,61440,53760,0.875,3840.0,16,12,512,142,256,64.0,34,104,42,57,41.398979591836735,1825695,44100
55,Intro16-DadaGP-v1.0\analysis_result\htmls\00055.html,311 - Six_distorted0,311,Six,distorted0,1,1,1,1,1,1,1,653,16,61440,60480,0.984375,3840.0,16,12,512,142,256,64.0,34,104,42,69,51.0,2249100,44100
56,Intro16-DadaGP-v1.0\analysis_result\htmls\00056.html,311 - Taiyed_clean0,311,Taiyed,clean0,1,1,1,1,1,1,1,1092,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,45,71,41.398979591836735,1825695,44100
57,Intro16-DadaGP-v1.0\analysis_result\htmls\00057.html,311 - Transistor_clean0,311,Transistor,clean0,1,1,1,1,1,1,1,289,16,61440,58560,0.953125,3840.0,16,12,512,142,256,64.0,34,104,40,50,28.6,1261260,44100
58,Intro16-DadaGP-v1.0\analysis_result\htmls\00058.html,311 - You Wouldn_'t Believe_distorted0,311,You Wouldn_'t Believe,distorted0,1,1,1,1,1,1,1,281,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,55,66,24.332993197278913,1073085,44100
59,Intro16-DadaGP-v1.0\analysis_result\htmls\00059.html,38 Special - Like No Other Night_distorted0,38 Special,Like No Other Night,distorted0,1,1,1,1,1,1,1,372,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,55,67,32.53798185941043,1434925,44100
60,Intro16-DadaGP-v1.0\analysis_result\htmls\00060.html,38 Special - Robin Hood_clean0,38 Special,Robin Hood,clean0,1,1,1,1,1,1,1,405,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,55,67,35.0,1543500,44100
61,Intro16-DadaGP-v1.0\analysis_result\htmls\00061.html,38 Special - Rockin_' Into The Night_distorted0,38 Special,Rockin_' Into The Night,distorted0,1,1,1,1,1,1,1,160,16,61440,53760,0.875,3840.0,16,12,512,142,256,64.0,34,104,40,55,35.0,1543500,44100
62,Intro16-DadaGP-v1.0\analysis_result\htmls\00062.html,4 Non Blondes - What's Up_clean0,4 Non Blondes,What's Up,clean0,1,1,1,1,1,1,1,981,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,52,67,57.85698412698413,2551493,44100
63,Intro16-DadaGP-v1.0\analysis_result\htmls\00063.html,4 Non Blondes - What_'s Up_clean0,4 Non Blondes,What_'s Up,clean0,1,1,1,1,1,1,1,1121,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,45,67,35.0,1543500,44100
64,Intro16-DadaGP-v1.0\analysis_result\htmls\00064.html,4 skins (The) - A.C.A.B_distorted0,4 skins (The),A.C.A.B,distorted0,1,0,1,1,0,0,0,473,16,61440,61440,1.0,3840.0,0,12,512,142,256,64.0,34,104,45,67,0,0,0
65,Intro16-DadaGP-v1.0\analysis_result\htmls\00065.html,4D Sports Driving - Stunts Theme (for guitar and bass)_distorted0,4D Sports Driving,Stunts Theme (for guitar and bass),distorted0,1,1,1,1,1,1,1,264,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,59,83,21.284988662131518,938668,44100
66,Intro16-DadaGP-v1.0\analysis_result\htmls\00066.html,4D Sports Driving - Stunts Theme_distorted1,4D Sports Driving,Stunts Theme,distorted1,1,1,1,1,1,1,1,264,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,59,83,19.694988662131518,868549,44100
67,Intro16-DadaGP-v1.0\analysis_result\htmls\00067.html,50 Cent - In Da Club_distorted0,50 Cent,In Da Club,distorted0,1,1,1,1,1,1,1,453,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,42,61,45.66598639455783,2013870,44100
68,Intro16-DadaGP-v1.0\analysis_result\htmls\00068.html,500 And China Blue - Mon A Bo Ya Gar Ki_distorted0,500 And China Blue,Mon A Bo Ya Gar Ki,distorted0,1,1,1,1,1,1,1,314,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,57,24.332993197278913,1073085,44100
69,Intro16-DadaGP-v1.0\analysis_result\htmls\00069.html,59 Times The Pain - Weekend revolution_distorted0,59 Times The Pain,Weekend revolution,distorted0,1,1,1,1,1,1,1,477,16,61440,40320,0.65625,3840.0,16,12,512,142,256,64.0,34,104,42,58,41.398979591836735,1825695,44100
70,Intro16-DadaGP-v1.0\analysis_result\htmls\00070.html,5nizza - Coldat_clean0,5nizza,Coldat,clean0,1,1,1,1,1,1,1,377,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,67,32.53798185941043,1434925,44100
71,Intro16-DadaGP-v1.0\analysis_result\htmls\00071.html,5nizza - Hemae Kyl_clean0,5nizza,Hemae Kyl,clean0,1,1,1,1,1,1,1,316,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,65,51.0,2249100,44100
72,Intro16-DadaGP-v1.0\analysis_result\htmls\00072.html,6 Voltios - ARPG_distorted0,6 Voltios,ARPG,distorted0,1,1,1,1,1,1,1,87,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,42,56,22.2,979020,44100
73,Intro16-DadaGP-v1.0\analysis_result\htmls\00073.html,6 Voltios - Chicas Tontas_distorted0,6 Voltios,Chicas Tontas,distorted0,1,1,1,1,1,1,1,405,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,61,28.6,1261260,44100
74,Intro16-DadaGP-v1.0\analysis_result\htmls\00074.html,6 Voltios - Dando Vueltas_distorted1,6 Voltios,Dando Vueltas,distorted1,1,1,1,1,1,1,1,89,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,45,55,19.694988662131518,868549,44100
75,Intro16-DadaGP-v1.0\analysis_result\htmls\00075.html,6 Voltios - Desde Que Te Conocdeg_distorted0,6 Voltios,Desde Que Te Conocdeg,distorted0,1,1,1,1,1,1,1,221,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,62,18.358979591836736,809631,44100
76,Intro16-DadaGP-v1.0\analysis_result\htmls\00076.html,6 Voltios - Desequilibrado_distorted0,6 Voltios,Desequilibrado,distorted0,1,1,1,1,1,1,1,341,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,59,19.694988662131518,868549,44100
77,Intro16-DadaGP-v1.0\analysis_result\htmls\00077.html,6 Voltios - Lucas_distorted1,6 Voltios,Lucas,distorted1,1,1,1,1,1,1,1,521,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,42,63,35.0,1543500,44100
78,Intro16-DadaGP-v1.0\analysis_result\htmls\00078.html,6 Voltios - Lukas_distorted0,6 Voltios,Lukas,distorted0,1,1,1,1,1,1,1,410,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,42,61,26.998979591836736,1190655,44100
79,Intro16-DadaGP-v1.0\analysis_result\htmls\00079.html,69ers (The) - From The Heart Of My Bottom_distorted1,69ers (The),From The Heart Of My Bottom,distorted1,1,1,1,1,1,1,1,608,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,52,69,35.0,1543500,44100
80,Intro16-DadaGP-v1.0\analysis_result\htmls\00080.html,69ers (The) - Go Aways From Me_clean1,69ers (The),Go Aways From Me,clean1,1,1,1,1,1,1,1,1124,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,74,28.6,1261260,44100
81,Intro16-DadaGP-v1.0\analysis_result\htmls\00081.html,69ers (The) - Pass The Past_clean0,69ers (The),Pass The Past,clean0,1,1,1,1,1,1,1,77,16,61440,53760,0.875,3840.0,16,12,512,142,256,64.0,34,104,55,73,35.0,1543500,44100
82,Intro16-DadaGP-v1.0\analysis_result\htmls\00082.html,69ers (The) - Tuoi da buon - Rock remix_distorted0,69ers (The),Tuoi da buon - Rock remix,distorted0,1,1,1,1,1,1,1,516,16,61440,58560,0.953125,3840.0,16,12,512,142,256,64.0,34,104,40,76,41.398979591836735,1825695,44100
83,Intro16-DadaGP-v1.0\analysis_result\htmls\00083.html,69ers (The) - Way to nirvana_clean0,69ers (The),Way to nirvana,clean0,1,1,1,1,1,1,1,370,16,61440,57600,0.9375,3840.0,16,12,512,142,256,64.0,34,104,41,71,35.0,1543500,44100
84,Intro16-DadaGP-v1.0\analysis_result\htmls\00084.html,"704 exercises for guitar, 1-96 - Beast_distorted1","704 exercises for guitar, 1-96",Beast,distorted1,1,1,1,1,1,1,1,661,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,64,41.398979591836735,1825695,44100
85,Intro16-DadaGP-v1.0\analysis_result\htmls\00085.html,"704 exercises for guitar, 1-96 - Exercises 1-96_clean0","704 exercises for guitar, 1-96",Exercises 1-96,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,68,35.0,1543500,44100
86,Intro16-DadaGP-v1.0\analysis_result\htmls\00086.html,"704 exercises for guitar, 1-96 - Exercises 141-180_clean0","704 exercises for guitar, 1-96",Exercises 141-180,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,68,35.0,1543500,44100
87,Intro16-DadaGP-v1.0\analysis_result\htmls\00087.html,"704 exercises for guitar, 1-96 - Exercises 335-382_clean0","704 exercises for guitar, 1-96",Exercises 335-382,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,68,35.0,1543500,44100
88,Intro16-DadaGP-v1.0\analysis_result\htmls\00088.html,"704 exercises for guitar, 1-96 - Exercises 383-416_clean0","704 exercises for guitar, 1-96",Exercises 383-416,clean0,1,1,1,1,1,1,1,277,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,68,35.0,1543500,44100
89,Intro16-DadaGP-v1.0\analysis_result\htmls\00089.html,7b - Osen'_clean0,7b,Osen',clean0,1,1,1,1,1,1,1,1302,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,66,30.42798185941043,1341874,44100
90,Intro16-DadaGP-v1.0\analysis_result\htmls\00090.html,870621345 - Ashamed Again_distorted0,870621345,Ashamed Again,distorted0,1,1,1,1,1,1,1,405,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,41,52,30.42798185941043,1341874,44100
91,Intro16-DadaGP-v1.0\analysis_result\htmls\00091.html,870621345 - Forgive Me_clean0,870621345,Forgive Me,clean0,1,1,1,1,1,1,1,349,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,74,81,51.0,2249100,44100
92,Intro16-DadaGP-v1.0\analysis_result\htmls\00092.html,870621345 - Friends__distorted0,870621345,Friends_,distorted0,1,1,1,1,1,1,1,327,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,50,24.332993197278913,1073085,44100
93,Intro16-DadaGP-v1.0\analysis_result\htmls\00093.html,870621345 - Hate_distorted1,870621345,Hate,distorted1,1,1,1,1,1,1,1,784,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,57,35.0,1543500,44100
94,Intro16-DadaGP-v1.0\analysis_result\htmls\00094.html,870621345 - Kissing My Nightmares_distorted0,870621345,Kissing My Nightmares,distorted0,1,1,1,1,1,1,1,265,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,62,29.665986394557823,1308270,44100
95,Intro16-DadaGP-v1.0\analysis_result\htmls\00095.html,870621345 - Lost Forever_distorted0,870621345,Lost Forever,distorted0,1,1,1,1,1,1,1,139,16,61440,49920,0.8125,3840.0,16,12,512,142,256,64.0,34,104,40,52,22.2,979020,44100
